区域名称,区域图标,所属大陆,区域描述,区域难度,是否解锁,是否征服,征服需要总星级,解锁星级,首都
巢穴附近,🏰,古拉尔大陆,哥布林巢穴所在的核心区域，这里环境恶劣但哥布林们熟悉每一寸土地，附近的据点普遍没有任何国家庇护，完全的无主之地...,1,true,false,15,0,
流放之地,🏚️,古拉尔大陆,被流放的种族聚居地，环境恶劣但居民顽强，是各种被放逐者的避难所,2,true,false,20,0,
翡翠王国,💎,古拉尔大陆,古拉尔大陆上一个较大的人类王国，拥有丰富的翡翠矿藏和繁荣的贸易，是大陆上最富庶的王国之一,3,false,false,25,30,翡翠王都
卡拉森林,🌲,古拉尔大陆,部分永恒精灵的栖息地，古老的森林中隐藏着精灵的魔法结界和神秘遗迹,5,false,false,40,50,卡拉村
沿海解冻区,🏔️,瓦尔基里大陆,夏季短暂解冻的沿海地区,2,false,false,30,60,冰霜要塞
内陆冰原,🧊,瓦尔基里大陆,终年冰雪覆盖的内陆地区,3,false,false,35,70,黑暗精灵王城
主岛群,🏝️,香草群岛,狐族主要居住的岛屿群,3,false,false,40,80,狐族王宫
贸易航道,⛵,香草群岛,连接各岛屿的繁忙航道,4,false,false,45,90,
边境地区,🛡️,赛菲亚大陆,人类帝国的边境防御区,4,false,false,50,100,
帝国腹地,👑,赛菲亚大陆,人类帝国的核心区域,5,false,false,60,120,帝国皇都
世界树外围,🌲,世界树,世界树周围的精灵结界区域,4,false,false,70,140,
世界树内部,🌳,世界树,世界树内部的精灵城市,5,false,false,80,160,永恒圣城
